,1,2,2.1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,20100311 978路,971支路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20100621 389路,530路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20100706 87路,601路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20100706 89路,609路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20100706 88路,626路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20100706 80路,650路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20100720 78路,617路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20100720 79路,619路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20100720 130路,606路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20190621 404路,20100720 131路,614路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20100720 132路,623路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20161220 138路,20100720 595路,608路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20100720 596路,602路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20100720 597路,621路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20100720 598路,622路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20170909 52路,20100720 599路,655路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20100720 607路,839路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20100720 615路,855路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20210205 141路,20100720 特11路,803路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20210205 200路,20101119 特12路,800路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20101119 601路,801路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20101119 99路,802路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20101119 608路,808路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20101119 609路,810路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20101119 614路,814路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20140506 3路,20101119 623路,823路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20101119 623路,826路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,20101119 617路,836路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20101119 617路,846路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20101119 620路,849路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20101119 621路,852路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20110323 530路,957路支2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20110324 820路,927路专线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20110324 821路,927路区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20110324 832路,917路专线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20110324 811路,930路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20110324 812路,930路空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20110324 901路快,901路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20110324 901路,901路区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20110414 834路,917路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20190611 F68路,20110414 835路,917路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20190611 971路,20110414 835路快,917路支4区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,20110414 836路,917支1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20120914 91路,20110414 837路,917路支7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20110414 837快,917路支2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,20110420 830路,917路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,20110420 839路,971路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20110420 978路快,917路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,20110420 831路,917路支1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20110420 833路,917路支3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20110420 838路,917路支4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20110504 890路,981路临快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20110504 962路,972路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20110504 891路,931路支1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,20140506 特13路,20110504 883路,919路区间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,20110504 870路,947路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,20110504 892路,929路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,20110504 961路,977路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,20110511 806路,938路支6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,20110511 807路,938路支7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20110511 809路,839路支9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,20110511 805路,938路支5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,20110511 805路快,938路支5快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,20110511 810路,938路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,20110519 881路,919路支1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,20110519 889路,919路支3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20110519 887路,914路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,20110519 871路,919路支8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,20140506 特17路,20110519 872路,925路长陵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,20110519 882路,919路支2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,20201113 C104路,20110519 884路,919路支2延,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,20110519 888路,925路区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,20170920 Y41路,20110603 873路,920路永宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,20170920 Y42路,20110603 874路,920路南关,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,20170920 Y43路,20110603 875路,920路龙香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,20170920 Y44路,20110603 876路,920路康庄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20210205 145路,20140506 特15路,20110603 885路,919路支2快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,20110603 886路,919路支6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20171220 H61路,20110609 861路,916路内环,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20171220 H62路,20110609 862路,916路外环,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20110609 936路,936路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,20110609 866路,916路支东线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,20110609 867路,936路支红螺寺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,20110609 865路,984路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,20110609 860路,984路曹碾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,20110615 969路,944路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,20110615 851路,944路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,20110615 843路,937路支3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20200521 X104路,20110615 844路,937路支4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,20110615 845路,937路专线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,20110615 850路,915路支2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,20110615 850路快,915路支2快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,20110615 852路,918路快1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,20110615 946路,955路区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,20110623 840路,937路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,20110623 841路,937路支1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,20110623 829路,957路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,20110623 846路,976路区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,20110623 827路,957路快1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,20200521 X102路,20110623 842路,937路支2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,20110623 848路,957路快2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,20110623 828路,943路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,20110623 826路,926路支快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,20110627 814路,930路上上城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,20110627 815路,930路诸葛店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,20110627 815快,930路诸葛店快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,20110627 816路,930路煤矿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,20110627 817路,930路夏垫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,20110629 804路,938路支4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,20110629 813路,938路支1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,20110629 818路,930路天洋城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,20110629 818路快,930路天洋城快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,20110811 917路快,917路北线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,20110811 919路,919路慢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,20110811 919路快,919路直达快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,20110811 877路,919路八达岭直达,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,20110811 880路,919路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,20110811 880路快,919路支康庄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,20200701 T103路,20110818 803路,938路支3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,20191228 T102路,20110818 802路,938路支2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,20170804 T101路,20110818 801路,938路支1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,20110818 849路,943路固安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,20110818 825路,957路支1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,20110818 983路,983路支线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,20120504 573路,627路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,20121227 73路,489路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,20131216 127路,104路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,20140318 专101路,427路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,20140318 专102路,429路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,20140318 专103路,442路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,20140318 专104路,444路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,20140318 专105路,491路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,20140318 专106路,492路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,20140318 专107路,517路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,20140318 专108路,58路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,20140318 专109路,311路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,20140318 专110路,564路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,20150623 140路,20140318 专111路,440路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,20140318 专112路,446路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,20140318 专113路,495路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,20140318 专114路,424路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,20140318 专115路,566路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,20140318 专116路,572路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,20140318 专117路,417路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,20201223 专136路,20140318 专118路,522路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,20140318 专119路,533路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,20140318 专120路,540路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,20140318 专121路,548路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,20140318 专122路,590路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,20140423 专89路,临2路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,20140423 96路,301路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,20140423 450路,628路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,20140423 619路,729路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,20210205 143路,20140506 特14路,54路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,20210205 406路,20140506 特16路,406路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,20140506 特18路,320路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,20210205 129路,20140506 特19路,319路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,20140521 584路,718路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,20140620 94路,388路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,20140714 夜36路,夜5路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,20140714 夜5路,夜19路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,20140714 夜19路,夜27路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,20140820 319路,专48路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,20141020 83路,604路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,20141020 517路,731路区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,20141224 72路,707路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,20141224 133路,715路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,20141224 54路,686路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,20141224 301路,快速公交3线支,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,20151223 470路,专160路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,20160723 128路,685路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,20160723 895路,837路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,20161220 专71路,581路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,20170713 专123路,专77路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,20170713 专124路,专77路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,20170726 S101路,923路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,20170815 350路,433路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,20170825 T108路,823路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,20170909 50路,741路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,20170909 610路,特10路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,20170920 Y45路,920路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,20170920 Y46路,921路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,20171110 394路,特6路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,20171220 H63路,863路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,20171220 H64路,864路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,20171220 H69路,869路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,20171227 M27路,M1路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,20171227 M1路,964路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,20180112 90路,特3路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,20180720 388路,648路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,20180802 402路,503路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,20180810 专29路,448路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,20181219 X105路,940路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,20190611 126路,673路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,20190621 486路,677路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,20191223 603路,运通103路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,20191223 604路,运通104路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,20191223 608路,运通108路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,20191223 609路,运通109路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,20191223 613路,运通113路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,20191223 617路,运通117路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,20191223 623路,运通123路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,20191223 626路,运通126路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,20191223 628路,运通128路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,20191223 305路,运通105路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,20191223 420路,运通120路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,20191223 424路,运通124路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,20191223 491路,运通201路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,20191223 495路,运通205路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,20191223 492路,运通202路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,20191223 专139路,运动119路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,20191223 专141路,运动121路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,20191223 专142路,运动122路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,20191223 专145路,运动125路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,20191223 专147路,运动127路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,20191223 专149路,运动129路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,20191223 921路,运通101路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,20191223 932路,运通112路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,20191223 876路,运通116路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,20191223 62路,运通102路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,20191223 686路,运通106路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,20191223 687路,运通107路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,20191223 450路,运通110路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,20191223 451路,运通111路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,20191223 644路,运通114路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,20201231 585路,20191223 685路,运通115路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,20191223 688路,运通118路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,20200521 X107路,947路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,20200620 专111路,545路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,20200620 344路,344路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,20200701 T103路,柴厂通勤快车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,20200928 专181路,开发区1路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,20200928 专182路,开发区2路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,20200928 专183路,开发区3路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,20200928 专184路,开发区4路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,20200928 专185路,开发区5路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,20200928 专186路,开发区6路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,20200928 专187路,开发区7路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,20200928 专188路,开发区8路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,20201219 835路,835路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,20201231 354路,736路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,20210120 专194路,494路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,20210120 专195路,494路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,20210205 17路,525路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,20210205 135路,635路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,20210205 319路,701路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,20210205 63路,674路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,20210205 368路,特8路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,20210205 84路,684路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,20210205 69路,691路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,20210205 142路,特2路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,20210205 137路,特7路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,20210205 144路,特14路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,20210205 400路,740路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,20210205 400路快,特9路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
